date,open,high,low,close,average_price,day_variation,timeHigh,timeLow,volume,marketCap,circulatingSupply
2025-10-11,113236.43,113429.72,109760.56,110807.88,111595.14,-2.14%,03:02:00,21:10:00,110236934340.44,2208782640083.79,19932790.0
2025-10-10,121704.74,122509.66,104582.41,113214.37,113546.04,-6.98%,13:43:00,21:21:00,153125018868.11,2257116276274.94,19932775.0
2025-10-09,123337.07,123739.35,119812.03,121705.58,121775.69,-1.32%,12:43:00,17:01:00,74653009424.96,2425798679230.03,19931834.0
2025-10-08,121448.35,124167.09,121119.18,123354.87,122643.14,1.57%,17:59:00,06:08:00,65354305285.91,2458333960629.99,19931834.0
2025-10-07,124752.14,125184.03,120681.97,121451.38,122933.0,-2.65%,12:58:00,18:30:00,76149412513.03,2420648589010.21,19931506.0
2025-10-06,123510.45,126198.07,123196.05,124752.53,124697.06,1.01%,18:59:00,00:56:00,72568881188.34,2486340085205.98,19930240.0
2025-10-05,122419.67,125559.21,122191.96,123513.47,123875.58,0.89%,04:53:00,01:24:00,73689317763.05,2461341319591.38,19928203.0
2025-10-04,122267.47,122857.64,121577.57,122425.43,122217.61,0.13%,05:27:00,18:57:00,36769171734.75,2439604048667.28,19928203.0
2025-10-03,120656.98,123944.7,119344.31,122266.53,121644.5,1.33%,16:38:00,08:19:00,83941392228.12,2436570957894.73,19928203.0
2025-10-02,118652.39,121086.41,118383.16,120681.26,119734.78,1.71%,19:16:00,06:03:00,71415163911.62,2404476831114.3,19928203.0
2025-10-01,114057.59,118648.93,113981.4,118648.93,116315.16,4.03%,23:59:00,00:28:00,71328680131.6,2364528832561.99,19928203.0
2025-09-30,114396.52,114836.62,112740.56,114056.08,113788.59,-0.3%,01:16:00,10:04:00,58986330258.25,2272962850720.1,19928203.0
2025-09-29,112117.88,114473.57,111589.95,114400.39,113031.76,2.04%,20:45:00,07:27:00,60000147465.61,2279698774405.04,19928043.0
2025-09-28,109681.95,112375.48,109236.95,112122.64,110806.22,2.23%,23:10:00,12:50:00,33371048505.29,2234220620825.09,19927425.0
2025-09-27,109707.14,109778.5,109144.29,109681.94,109461.39,-0.02%,04:35:00,09:29:00,26308042910.14,2185641706167.04,19927087.0
2025-09-26,109041.29,110359.19,108728.98,109712.83,109544.08,0.62%,18:28:00,11:20:00,57738288948.87,2186093717136.85,19926631.0
2025-09-25,113330.17,113541.09,108713.4,109049.29,111127.24,-3.78%,00:09:00,18:02:00,75528654283.63,2172778969611.28,19926203.0
2025-09-24,112007.67,113986.27,111229.64,113328.63,112607.96,1.18%,17:43:00,04:13:00,48044595084.74,2258188096263.37,19925746.0
2025-09-23,112757.48,113351.91,111535.57,112014.5,112443.74,-0.66%,09:12:00,20:37:00,47211853278.67,2231784565506.68,19925284.0
2025-09-22,115309.22,115431.31,112037.64,112748.51,113734.48,-2.22%,00:13:00,19:47:00,70684158591.15,2246673306140.46,19924828.0
2025-09-21,115730.23,115901.09,115252.58,115306.1,115576.84,-0.37%,08:02:00,22:23:00,22495852193.17,2297339763871.24,19923296.0
2025-09-20,115691.13,116191.15,115473.52,115721.96,115832.34,0.03%,15:31:00,03:56:00,22864449614.47,2305727545530.23,19923296.0
2025-09-19,117137.67,117479.75,115141.82,115688.86,116310.78,-1.24%,01:06:00,20:01:00,38828473971.12,2304948597306.78,19923296.0
2025-09-18,116461.26,117911.79,116188.8,117137.2,117050.3,0.58%,18:52:00,00:27:00,49457272032.38,2333715124062.34,19922840.0
2025-09-17,116840.51,117328.61,114794.97,116468.51,116061.79,-0.32%,07:23:00,18:47:00,60528025996.3,2320183085224.08,19922359.0
2025-09-16,115423.75,117005.28,114813.09,116843.18,115909.18,1.23%,22:09:00,13:52:00,45781744592.98,2327691788783.86,19921959.0
